state,state_code,new_rto_code,new_rto_name,legacy_rto_code,legacy_rto_name,link_status
Andaman & Nicobar Island,AN,201,Baratang,AN201,,portal_only
Andaman & Nicobar Island,AN,212,Campbell Bay,AN212,,portal_only
Andaman & Nicobar Island,AN,211,Car Nicobar,AN211,,portal_only
Andaman & Nicobar Island,AN,204,Diglipur,AN204,,portal_only
Andaman & Nicobar Island,AN,200,Ferrargunj,AN200,,portal_only
Andaman & Nicobar Island,AN,208,Kamorta,AN208,,portal_only
Andaman & Nicobar Island,AN,209,Katchal,AN209,,portal_only
Andaman & Nicobar Island,AN,207,Little Andaman,AN207,,portal_only
Andaman & Nicobar Island,AN,203,Mayabunder,AN203,,portal_only
Andaman and Nicobar,AN,1,Port Blair DTO,AN1,Port Blair DTO,linked
Andaman & Nicobar Island,AN,202,Rangat,AN202,,portal_only
Andaman & Nicobar Island,AN,205,Shaheed Dweep,AN205,,portal_only
Andaman & Nicobar Island,AN,206,Swaraj Dweep,AN206,,portal_only
Andaman & Nicobar Island,AN,210,Teressa,AN210,,portal_only
Andhra Pradesh,AP,221,Adoni RTO,AP221,Adoni RTO,linked
Andhra Pradesh,AP,205,Amalapuram RTA,AP205,Amalapuram RTA,linked
Andhra Pradesh,AP,131,Anakapalli RTA,AP131,Anakapalli RTA,linked
Andhra Pradesh,AP,2,Anantapur RTA,AP2,Anantapur RTA,linked
Andhra Pradesh,AP,126,Atmakur MVI Office,AP126,Atmakur MVI Office,linked
Andhra Pradesh,AP,321,Atmakur-Kurnool MVI Office,AP321,Atmakur-Kurnool MVI Office,linked
Andhra Pradesh,AP,104,Badvel MVI Office,AP104,Badvel MVI Office,linked
Andhra Pradesh,AP,207,BAPATLA RTO OFFICE,AP207,BAPATLA RTO OFFICE,linked
Andhra Pradesh,AP,137,Bhimavaram RTA,AP137,Bhimavaram RTA,linked
Andhra Pradesh,AP,307,Chilakaluripeta MVI Office,AP307,Chilakaluripeta MVI Office,linked
Andhra Pradesh,AP,905,Chintoor,AP905,Chintoor,linked
Andhra Pradesh,AP,127,Chirala UO,AP127,Chirala UO,linked
Andhra Pradesh,AP,3,Chittoor RTA,AP3,Chittoor RTA,linked
Andhra Pradesh,AP,4,Cuddapah RTA,AP4,Cuddapah RTA,linked
Andhra Pradesh,AP,427,Darsi UO,AP427,Darsi UO,linked
Andhra Pradesh,AP,602,Dharamavaram unit office,AP602,Dharamavaram unit office,linked
Andhra Pradesh,AP,421,Dhone MVI Office,AP421,Dhone MVI Office,linked
Andhra Pradesh,AP,231,Gajuwaka RTA,AP231,Gajuwaka RTA,linked
Andhra Pradesh,AP,116,Gudiwada RTA,AP116,Gudiwada RTA,linked
Andhra Pradesh,AP,226,Gudur RTA,AP226,Gudur RTA,linked
Andhra Pradesh,AP,202,Guntakal UO,AP202,Guntakal UO,linked
Andhra Pradesh,AP,7,Guntur RTA,AP7,Guntur RTA,linked
Andhra Pradesh,AP,102,Hindupur RTA,AP102,Hindupur RTA,linked
Andhra Pradesh,AP,130,Itchapuram MVI Office,AP130,Itchapuram MVI Office,linked
Andhra Pradesh,AP,616,Jaggayyapet UO,AP616,Jaggayyapet UO,linked
Andhra Pradesh,AP,237,JANGAREDDYGUDEM RTA,AP237,JANGAREDDYGUDEM RTA,linked
Andhra Pradesh,AP,702,Kalyandurg RTO office,AP702,Kalyandurg RTO office,linked
Andhra Pradesh,AP,227,Kandukur MVI Office,AP227,Kandukur MVI Office,linked
Andhra Pradesh,AP,326,Kavali UO,AP326,Kavali UO,linked
Andhra Pradesh,AP,337,Kovvuru UO,AP337,Kovvuru UO,linked
Andhra Pradesh,AP,21,Kurnool RTA,AP21,Kurnool RTA,linked
Andhra Pradesh,AP,407,Macherla MVI Office,AP407,Macherla MVI Office,linked
Andhra Pradesh,AP,405,Mandapeta UO,AP405,Mandapeta UO,linked
Andhra Pradesh,AP,507,Mangalagiri MVI Office,AP507,Mangalagiri MVI Office,linked
Andhra Pradesh,AP,327,Markapur UO,AP327,Markapur UO,linked
Andhra Pradesh,AP,114,Nagari MVI office,AP114,Nagari MVI office,linked
Andhra Pradesh,AP,316,Nandigama RTA,AP316,Nandigama RTA,linked
Andhra Pradesh,AP,121,Nandyal RTA,AP121,Nandyal RTA,linked
Andhra Pradesh,AP,107,Narasaraopet RTA,AP107,Narasaraopet RTA,linked
Andhra Pradesh,AP,331,Narsipatnam MVI Office,AP331,Narsipatnam MVI Office,linked
Andhra Pradesh,AP,26,Nellore RTA,AP26,Nellore RTA,linked
Andhra Pradesh,AP,416,Nuzvid UO,AP416,Nuzvid UO,linked
Andhra Pradesh,AP,41,Paderu RTA,AP41,Paderu RTA,linked
Andhra Pradesh,AP,637,Palakole UO,AP637,Palakole UO,linked
Andhra Pradesh,AP,230,PALAKONDA RTA,AP230,PALAKONDA RTA,linked
Andhra Pradesh,AP,303,Palamaner MVI Office,AP303,Palamaner MVI Office,linked
Andhra Pradesh,AP,330,Palasa MVI Office,AP330,Palasa MVI Office,linked
Andhra Pradesh,AP,135,PARVATHIPURAM RTO OFFICE,AP135,PARVATHIPURAM RTO OFFICE,linked
Andhra Pradesh,AP,505,Peddapuram MVI Office,AP505,Peddapuram MVI Office,linked
Andhra Pradesh,AP,607,Piduguralla UO,AP607,Piduguralla UO,linked
Andhra Pradesh,AP,403,Piler MVI Office,AP403,Piler MVI Office,linked
Andhra Pradesh,AP,27,Prakasam RTA,AP27,Prakasam RTA,linked
Andhra Pradesh,AP,204,Proddutur RTA,AP204,Proddutur RTA,linked
Andhra Pradesh,AP,304,Pulivendula MVI Office,AP304,Pulivendula MVI Office,linked
Andhra Pradesh,AP,113,Punganur UO,AP113,Punganur UO,linked
Andhra Pradesh,AP,503,Puttur MVI Office,AP503,Puttur MVI Office,linked
Andhra Pradesh,AP,105,Rajahmundry RTA,AP105,Rajahmundry RTA,linked
Andhra Pradesh,AP,404,Rajampet MVI Office,AP404,Rajampet MVI Office,linked
Andhra Pradesh,AP,605,Ramachandrapuram UO,AP605,Ramachandrapuram UO,linked
Andhra Pradesh,AP,705,Ravulapalem UO,AP705,Ravulapalem UO,linked
Andhra Pradesh,AP,504,Rayachoti MVI Office,AP504,Rayachoti MVI Office,linked
Andhra Pradesh,AP,141,REGIONAL TRANSPORT OFFICE RAMPACHODAVARAM,AP141,REGIONAL TRANSPORT OFFICE RAMPACHODAVARAM,linked
Andhra Pradesh,AP,37,RTA Eluru,AP37,RTA Eluru,linked
Andhra Pradesh,AP,5,RTA Kakinada,AP5,RTA Kakinada,linked
Andhra Pradesh,AP,216,RTA MACHILIPATNAM,AP216,RTA MACHILIPATNAM,linked
Andhra Pradesh,AP,302,RTO KADIRI,AP302,RTO KADIRI,linked
Andhra Pradesh,AP,203,RTO MADANAPALLE,AP203,RTO MADANAPALLE,linked
Andhra Pradesh,AP,235,Salur MVI Office,AP235,Salur MVI Office,linked
Andhra Pradesh,AP,30,Srikakulam RTA,AP30,Srikakulam RTA,linked
Andhra Pradesh,AP,603,Srikalahasthi MVI Office,AP603,Srikalahasthi MVI Office,linked
Andhra Pradesh,AP,426,Sullurpet UO,AP426,Sullurpet UO,linked
Andhra Pradesh,AP,437,Tadepalli Gudem UO,AP437,Tadepalli Gudem UO,linked
Andhra Pradesh,AP,402,Tadipatri UO,AP402,Tadipatri UO,linked
Andhra Pradesh,AP,537,Tanuku UO,AP537,Tanuku UO,linked
Andhra Pradesh,AP,430,Tekkali MVI Office,AP430,Tekkali MVI Office,linked
Andhra Pradesh,AP,707,TENALI RTA,AP707,TENALI RTA,linked
Andhra Pradesh,AP,103,Tirupati RTA,AP103,Tirupati RTA,linked
Andhra Pradesh,AP,305,UNIT OFFICE KATHIPUDI,AP305,UNIT OFFICE KATHIPUDI,linked
Andhra Pradesh,AP,502,UNIT OFFICE RAYADURG,AP502,UNIT OFFICE RAYADURG,linked
Andhra Pradesh,AP,16,Vijayawada RTA,AP16,Vijayawada RTA,linked
Andhra Pradesh,AP,31,Vishakapatnam RTA,AP31,Vishakapatnam RTA,linked
Andhra Pradesh,AP,35,Vizianagaram RTA,AP35,Vizianagaram RTA,linked
Andhra Pradesh,AP,516,Vuyyuru UO,AP516,Vuyyuru UO,linked
Arunachal Pradesh,AR,17,ANJAW,AR17,ANJAW,linked
Arunachal Pradesh,AR,28,Bichom,AR28,Bichom,linked
Arunachal Pradesh,AR,12,CHANGLANG,AR12,CHANGLANG,linked
Arunachal Pradesh,AR,10,DIBANG VALLEY,AR10,DIBANG VALLEY,linked
Arunachal Pradesh,AR,5,EAST KAMENG,AR5,EAST KAMENG,linked
Arunachal Pradesh,AR,9,EAST SIANG,AR9,EAST SIANG,linked
Arunachal Pradesh,AR,1,ITANAGAR CAPITAL REGION,AR1,ITANAGAR CAPITAL REGION,linked
Arunachal Pradesh,AR,23,KAMLE,AR23,KAMLE,linked
Arunachal Pradesh,AR,27,Keyi Panyor,AR27,Keyi Panyor,linked
Arunachal Pradesh,AR,19,KRA-DAADI,AR19,KRA-DAADI,linked
Arunachal Pradesh,AR,15,KURUNG KUMEY,AR15,KURUNG KUMEY,linked
Arunachal Pradesh,AR,25,LEPARADA,AR25,LEPARADA,linked
Arunachal Pradesh,AR,11,LOHIT,AR11,LOHIT,linked
Arunachal Pradesh,AR,18,LONGDING,AR18,LONGDING,linked
Arunachal Pradesh,AR,16,LOWER DIBANG VALLEY,AR16,LOWER DIBANG VALLEY,linked
Arunachal Pradesh,AR,22,LOWER SIANG,AR22,LOWER SIANG,linked
Arunachal Pradesh,AR,6,LOWER SUBANSIRI,AR6,LOWER SUBANSIRI,linked
Arunachal Pradesh,AR,20,NAMSAI,AR20,NAMSAI,linked
Arunachal Pradesh,AR,24,PAKKE-KESANG,AR24,PAKKE-KESANG,linked
Arunachal Pradesh,AR,26,SHI-YOMI,AR26,SHI-YOMI,linked
Arunachal Pradesh,AR,21,SIANG,AR21,SIANG,linked
Arunachal Pradesh,AR,99,STATE TRANSPORT AUTHORITY,AR99,,portal_only
Arunachal Pradesh,AR,3,TAWANG,AR3,TAWANG,linked
Arunachal Pradesh,AR,13,TIRAP,AR13,TIRAP,linked
Arunachal Pradesh,AR,14,UPPER SIANG,AR14,UPPER SIANG,linked
Arunachal Pradesh,AR,7,UPPER SUBANSIRI,AR7,UPPER SUBANSIRI,linked
Arunachal Pradesh,AR,4,WEST KAMENG,AR4,WEST KAMENG,linked
Arunachal Pradesh,AR,8,WEST SIANG,AR8,WEST SIANG,linked
Arunachal Pradesh,AR,2,YUPIA,AR2,YUPIA,linked
Assam,AS,15,BARPETA,AS15,BARPETA,linked
Assam,AS,28,BASKA,AS28,BASKA,linked
Assam,AS,32,BISWANATH CHARIALI,AS32,BISWANATH CHARIALI,linked
Assam,AS,19,BONGAIGAON,AS19,BONGAIGAON,linked
Assam,AS,11,CACHAR,AS11,CACHAR,linked
Assam,AS,33,CHARAIDEO,AS33,CHARAIDEO,linked
Assam,AS,26,CHIRANG,AS26,CHIRANG,linked
Assam,AS,13,DARRANG,AS13,DARRANG,linked
Assam,AS,22,DHEMAJI,AS22,DHEMAJI,linked
Assam,AS,17,DHUBRI,AS17,DHUBRI,linked
Assam,AS,6,DIBRUGARH,AS6,DIBRUGARH,linked
Assam,AS,8,DIMA HASAO,AS8,DIMA HASAO,linked
Assam,AS,18,GOALPARA,AS18,GOALPARA,linked
Assam,AS,5,GOLAGHAT,AS5,GOLAGHAT,linked
Assam,AS,24,HAILAKANDI,AS24,HAILAKANDI,linked
Assam,AS,31,HOJAI,AS31,HOJAI,linked
Assam,AS,3,JORHAT,AS3,JORHAT,linked
Assam,AS,1,KAMRUP,AS1,KAMRUP,linked
Assam,AS,25,KAMRUP(RURAL),AS25,KAMRUP(RURAL),linked
Assam,AS,9,KARBI ANGLONG,AS9,KARBI ANGLONG,linked
Assam,AS,10,KARIMGANJ,AS10,KARIMGANJ,linked
Assam,AS,16,KOKRAJHAR,AS16,KOKRAJHAR,linked
Assam,AS,7,LAKHIMPUR,AS7,LAKHIMPUR,linked
Assam,AS,29,MAJULI,AS29,MAJULI,linked
Assam,AS,21,MORIGAON,AS21,MORIGAON,linked
Assam,AS,2,NAGAON,AS2,NAGAON,linked
Assam,AS,14,NALBARI,AS14,NALBARI,linked
Assam,AS,200,"NIAIMT,CACHAR",AS200,,portal_only
Assam,AS,202,"NIAIMT,HAILAKANDI",AS202,,portal_only
Assam,AS,201,"NIAIMT,KARIMGANJ",AS201,,portal_only
Assam,AS,4,SIVASAGAR,AS4,SIVASAGAR,linked
Assam,AS,12,SONITPUR,AS12,SONITPUR,linked
Assam,AS,34,SOUTH SALMARA,AS34,SOUTH SALMARA,linked
Assam,AS,999,STATE TRANSPORT AUTHORITY,AS999,,portal_only
Assam,AS,23,TINSUKIA,AS23,TINSUKIA,linked
Assam,AS,27,UDALGURI,AS27,UDALGURI,linked
