rto_code,district
AN201,
AN212,
AN211,
AN204,
AN200,
AN207,
AN203,
AN1,South Andamans
AN202,
AN206,
AP102,Sri Sathya Sai
AP103,Tirupati
AP104,Y S R
AP105,East Godavari
AP107,Palnadu
AP113,Chittoor
AP114,Chittoor
AP116,Krishna
AP121,Nandyal
AP126,Nandyal
AP127,Bapatla
AP130,Srikakulam
AP131,Anakapalli
AP135,Parvathipuram Manyam
AP137,West Godavari
AP141,East Godavari
AP16,NTR
AP2,Anantapur
AP202,Anantapur
AP203,Annamayya
AP204,Y S R
AP205,Konaseema
AP207,Bapatla
AP21,Kurnool
AP216,Krishna
AP221,Kurnool
AP226,Tirupati
AP227,SPSR Nellore
AP230,Parvathipuram Manyam
AP231,Visakhapatanam
AP235,Parvathipuram Manyam
AP237,Eluru
AP26,SPSR Nellore
AP27,Prakasam
AP3,Chittoor
AP30,Srikakulam
AP302,Sri Sathya Sai
AP303,Chittoor
AP304,Y S R
AP305,Kakinada
AP307,Palnadu
AP31,Visakhapatanam
AP316,NTR
AP321,Nandyal
AP326,SPSR Nellore
AP327,Prakasam
AP330,Srikakulam
AP331,Anakapalli
AP337,East Godavari
AP35,Vizianagaram
AP37,Eluru
AP4,Y S R
AP402,Anantapur
AP403,Annamayya
AP404,Annamayya
AP405,Konaseema
AP407,Palnadu
AP41,Alluri Sitharama Raju
AP416,Eluru
AP421,Nandyal
AP426,Tirupati
AP427,Prakasam
AP430,Srikakulam
AP437,West Godavari
AP5,Kakinada
AP502,Anantapur
AP503,Tirupati
AP504,Annamayya
AP505,Kakinada
AP507,Guntur
AP516,Krishna
AP537,West Godavari
AP602,Sri Sathya Sai
AP603,Tirupati
AP605,Konaseema
AP607,Palnadu
AP616,NTR
AP637,West Godavari
AP7,Guntur
AP702,Anantapur
AP705,Konaseema
AP707,Guntur
AP837,East Godavari
AP905,Chittoor
AR1,Papum Pare
AR10,Dibang Valley
AR11,Lohit
AR12,Changlang
AR13,Tirap
AR14,Upper Siang
AR15,Kurung Kumey
AR16,Lower Dibang Valley
AR17,Anjaw
AR18,Longding
AR19,Kra Daadi
AR2,Papum Pare
AR20,Namsai
AR21,West Siang
AR22,Lower Siang
AR23,Kamle
AR24,Pakke Kessang
AR25,Leparada
AR26,Shi Yomi
AR27,Lower Subansiri
AR28,West Kameng
AR99,
AR3,Tawang
AR4,West Kameng
AR5,East Kameng
AR6,Lower Subansiri
AR7,Upper Subansiri
AR8,West Siang
AR9,East Siang
AS1,Kamrup Metro
AS10,Karimganj
AS11,Cachar
AS12,Sonitpur
AS13,Darrang
AS14,Nalbari
AS15,Barpeta
AS16,Kokrajhar
AS17,Dhubri
AS18,Goalpara
AS19,Bongaigaon
AS2,Nagaon
AS21,Marigaon
AS22,Dhemaji
AS23,Tinsukia
AS24,Hailakandi
AS25,Kamrup
AS26,Chirang
AS27,Udalguri
AS28,Baksa
AS29,Majuli
AS3,Jorhat
AS31,Hojai
AS32,Biswanath
AS33,Charaideo
AS34,South Salmara Mancachar
AS36,BAJALI
AS4,Sivasagar
AS200,
AS202,
AS201,
AS5,Golaghat
AS6,Dibrugarh
AS7,Lakhimpur
AS999,
AS35,
AS8,Dima Hasao
AS9,Karbi Anglong
BR1,Patna
BR10,Bhagalpur
BR11,Purnia
BR19,Saharsa
BR2,Gaya
BR21,Nalanda
BR22,Pashchim Champaran
BR24,Rohtas
BR103,
BR25,Jehanabad
BR26,Aurangabad
BR27,Nawada
BR109,
BR28,Gopalganj
BR102,
BR29,Siwan
BR107,
BR3,Bhojpur
BR30,Sitamarhi
BR31,Vaishali
BR32,Madhubani
BR33,Samastipur
BR34,Khagaria
BR37,Kishanganj
BR38,Araria
BR39,Katihar
BR4,Saran
BR201,
BR43,Madhepura
BR104,
BR44,Buxar
BR106,
BR45,Kaimur Bhabua
BR46,Jamui
BR5,Purbi Champaran
BR101,
BR50,Supaul
BR108,
BR51,Banka
BR52,Sheikhpura
BR105,
BR53,Lakhisarai
BR55,Sheohar
BR56,Arwal
BR6,Muzaffarpur
BR7,Darbhanga
BR999,
BR8,Munger
BR9,Begusarai
CG3,
CG10,Bilaspur
CG11,Janjgir Champa
CG12,Korba
CG13,Raigarh
CG14,Jashpur
CG15,Surguja
CG16,Korea
CG17,Bastar
CG18,Dantewada
CG19,Kanker
CG20,Bijapur
CG21,Narayanpur
CG22,Baloda Bazar
CG23,Gariyaband
CG24,Balod
CG25,Bemetara
CG26,Sukma
CG27,Kondagaon
CG28,Mungeli
CG29,Surajpur
CG30,Balrampur
CG31,Gaurella Pendra Marwahi
CG4,Raipur
CG5,Dhamtari
CG6,Mahasamund
